,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,segment,time,flow,speed,is_crash,diff_flow,diff_speed,vari_flow_in_last_4mins,vari_speed_in_last_4mins,speed_on_last_seg,flow_on_last_seg
105722,105722,106027,108302,108302,4126,42480,170,11,1,5,7,4,42,71,177
95653,95653,95947,98211,98211,4111,35520,215,64,0,-31,8,316,11,65,176
10603,10603,10603,10603,10603,1116,68400,199,54,0,14,-1,33,1,48,156
94018,94018,94312,96576,96576,4109,12120,7,80,0,2,0,2,0,80,6
94972,94972,95266,97530,97530,4110,40200,156,45,0,26,17,118,94,33,222
83770,83770,84036,86267,86267,3227,69360,32,7,0,10,2,155,4,62,63
94980,94980,95274,97538,97538,4110,41160,140,16,0,-4,-2,24,1,16,147
93961,93961,94255,96519,96519,4109,5280,20,80,0,-2,0,1,0,80,18
94024,94024,94318,96582,96582,4109,12840,11,80,0,-7,0,10,0,80,10
8319,8319,8319,8319,8319,1113,53400,185,14,1,-20,0,88,0,12,95
84494,84494,84760,86991,86991,3228,69840,54,82,1,-7,1,12,2,7,51
98369,98369,98673,100947,100947,4116,22800,42,78,0,1,-1,1,1,74,52
97992,97992,98296,100570,100570,4115,63960,265,58,0,8,-1,60,1,44,262
110350,110350,110763,113449,113449,4133,56880,158,23,1,-28,4,162,20,73,133
38549,38549,38552,38555,38555,2206,64560,48,6,0,3,1,14,12,63,66
85030,85030,85296,87527,87527,3229,47760,121,43,0,-4,2,2,6,43,49
32400,32400,32403,32406,32406,2116,17880,15,73,0,-5,0,16,0,86,16
139551,139551,140271,146232,146232,5103,25200,182,66,0,0,0,22,0,64,57
50233,50233,50241,50249,50249,3104,85440,62,73,0,-8,4,99,4,80,18
143317,143317,144114,150747,150747,5201,48600,87,71,0,-28,3,152,4,0,0
94081,94081,94375,96639,96639,4109,19680,27,78,0,5,1,24,0,77,28
26149,26149,26150,26151,26151,2107,37800,231,55,0,-18,-6,62,14,46,114
110382,110382,110795,113481,113481,4133,60720,174,54,1,-13,-4,140,3,81,98
12655,12655,12655,12655,12655,1203,55440,122,16,0,-1,0,206,0,33,157
105725,105725,106030,108305,108305,4126,42840,191,30,1,-9,-11,33,54,45,179
21277,21277,21277,21277,21277,1216,57480,140,72,0,-6,-4,134,29,59,262
95692,95692,95986,98250,98250,4111,40200,139,7,1,21,2,120,2,45,156
29920,29920,29923,29926,29926,2112,65880,153,56,0,24,-1,296,0,57,158
64539,64539,64659,65762,65762,3128,46200,87,63,0,-12,-18,29,54,74,41
80382,80382,80646,82875,82875,3223,7920,18,76,0,0,0,18,0,0,0
57149,57149,57161,57351,57351,3116,73680,37,75,0,29,-5,452,5,32,41
49800,49800,49808,49816,49816,3104,33480,149,20,0,-2,-1,14,4,59,52
56434,56434,56446,56636,56636,3115,74280,45,44,1,-11,-13,20,29,3,33
21279,21279,21279,21279,21279,1216,57720,147,58,0,-3,6,8,32,69,192
100204,100204,100508,102782,102782,4118,70200,151,26,0,31,-5,244,10,50,175
75139,75139,75386,77318,77318,3214,65760,173,62,0,-36,3,333,8,64,118
7306,7306,7306,7306,7306,1112,14400,5,72,0,7,0,10,0,70,10
110920,110920,111348,114168,114168,4134,56760,130,72,0,-7,1,28,0,27,130
95425,95425,95719,97983,97983,4111,8160,17,78,0,-6,0,6,0,85,10
152025,152025,152980,160600,160600,6110,23040,67,80,0,-21,1,186,2,0,0
26295,26295,26296,26297,26297,2107,55320,148,46,1,21,-26,93,184,10,58
26049,26049,26050,26051,26051,2107,25800,200,67,0,-20,2,77,1,59,115
681,681,681,681,681,1101,81720,64,67,0,5,3,184,21,0,0
9670,9670,9670,9670,9670,1115,42840,152,56,0,6,-2,6,1,66,198
143884,143884,144694,151457,151457,5202,47400,82,74,0,-19,2,89,1,75,71
32086,32086,32089,32092,32092,2115,66600,92,73,0,-9,-7,14,8,59,152
27018,27018,27019,27020,27020,2108,55680,153,16,0,9,0,248,0,49,146
