,time_id,road_id,segment,flow,speed,var_flow_8,var_speed_8,var_space_flow_8,var_space_speed_8,diff_flow_8,diff_speed_8,diff_kalman_flow,diff_kalman_speed,result_flow,is_crash
0,1,4,133,174,54,170.3,44,1378.266667,251.1428571,-5.75,8.75,0.0519523,-0.21274354,0,1
1,0,3,116,41,80,77.3,3.5,196.3142857,424.0952381,8,0,2.27293172,1.62536599,0,0
2,1,4,110,114,75,926.3,21.8,1160.495238,284.2095238,-64.5,9.25,-20.5933776,-0.56684017,0,0
3,0,2,114,20,68,6.7,0,19.68571429,61.66666667,-2.75,0,-2.1075095,0,0,0
4,1,4,134,90,76,64.7,4,831.0952381,729.3142857,9,-1.25,1.43470346,-0.27541779,0,0
5,1,4,111,163,43,1006.2,40.7,726.2666667,47.06666667,-69,-12.75,-24.8836481,4.28625294,-94.32638698,1
6,0,3,116,37,75,445.3,5.7,727.5238095,175.3809524,-43,4.75,-27.93791591,4.50657839,0,0
7,0,3,204,32,76,43.7,0.8,72.26666667,19.83809524,5.25,1.75,0,0,0,0
8,1,1,101,64,11,171.8,14.3,1414,13.95555556,-3,-2,-3.2504399,-0.00762825,0,1
9,0,4,209,57,78,86.7,1.3,356.4952381,11.35238095,-16.5,1.75,11.57718494,0.43179471,0,0
10,1,4,110,120,11,400.7,200.7,2008.12381,481.1238095,-14,-14,-0.9075978,-0.01001478,0,0
11,1,4,110,59,82,44,2.3,359.2666667,1301.4,-1.25,0.75,-0.0263705,-0.11656021,0,0
12,1,1,108,126,27,886.7,89,2701.352381,105.2095238,-20.25,-8.75,0.9984299,0.09328553,0,0
13,1,4,111,158,5,80.5,0.7,368.2095238,931.7809524,13.75,-1.5,4.9954708,0.038594989,0,1
14,0,2,110,187,64,633.3,60.8,1130.92381,48.78095238,19.5,-0.5,9.0492987,0.1574186,0,0
15,1,4,107,202,25,324.3,8.2,550.1428571,14.52380952,33,6,6.5797977,-2.37008417,0,0
16,1,1,109,109,13,64.5,3.7,549.352381,85.95238095,10,1,5.5046327,-0.08583224,0,0
17,1,4,110,127,74,19.8,2.2,553.4952381,807.4952381,2,-1,1.5307375,0.2277192,0,0
18,1,3,128,88,32,35.7,141.8,411.7428571,211.9809524,0.25,-15.75,0.22178242,-10.12691391,0,0
19,1,2,110,224,57,1434.5,17.5,2096.885714,371.6380952,15,5,16.7963683,0.0055433,0,0
20,1,3,227,67,10,194.3,9.5,147.552381,496.7428571,-2,0,-8.12328953,-0.25579682,-54.42603985,0
21,1,2,209,61,10,52.2,1,628.952381,15.4952381,-2.25,-1.25,-1.53894228,0.194576442,0,0
22,1,6,110,184,72,432,0,432,0,42.5,0,166.7485598,-0.00066676,0,0
23,0,1,107,79,76,115.3,0,233.6952381,6.666666667,-5.5,0,1.37713791,0,0,0
24,0,2,218,80,22,1400.3,66.3,3694.552381,291.4285714,-12,-2,-0.99657256,-0.03231941,0,1
25,1,4,111,232,59,70.2,14.8,420.7428571,24.26666667,2.25,5.5,-0.5267352,-0.27023559,0,1
26,1,4,111,160,24,1450.8,214.3,1355.92381,144.6857143,-53.25,-29.5,-10.4883231,4.13965085,-69.922154,1
27,1,4,111,209,64,57.2,1,832.8285714,19.54285714,8.5,1.25,3.6880778,0.18747933,0,0
